# Clustered 10 partitions into 2 clusters with maximum distance 0.293849206132314, average maximum distance 0.279921236047503, and maximum cluster size 5
# ClusterId PartitionId
# Cluster 1: 5 nodes with max distance 0.293849206132314
1 6
1 7
1 8
1 9
1 10
# Cluster 2: 5 nodes with max distance 0.265993265962692
2 1
2 2
2 3
2 4
2 5
